node,layer,original_score,new_score,diff(new-origin)
anon_S5391E,0,538.0,538.0,0.0
anon_S837E,0,601.0,601.0,0.0
anon_S3887E,2,549.0,561.0,12.0
anon_S124E,0,695.0,695.0,0.0
anon_S145E,4,649.0,1157.71,508.71
anon_S1320E,0,598.0,598.0,0.0
anon_S968E,0,658.0,658.0,0.0
anon_S69E,2,636.0,1049.5,413.5
anon_S523E,0,763.0,763.0,0.0
anon_S1090E,0,776.0,776.0,0.0
anon_S5659E,0,641.0,641.0,0.0
anon_S558E,0,-1,-1,na
anon_S6037E,0,-1,-1,na
anon_S1448E,0,531.0,531.0,0.0
anon_S2570E,1,418.0,860.96,442.96
anon_S2525E,2,535.0,921.34,386.34
anon_S1306E,0,598.0,598.0,0.0
anon_S2927E,1,549.0,626.0,77.0
anon_S3043E,1,533.0,588.0,55.0
anon_S3499E,1,596.0,713.0,117.0
anon_S1001E,0,575.0,575.0,0.0
anon_S3477E,1,-1,711.0,na
anon_S2461E,2,483.0,487.0,4.0
anon_S888E,0,586.0,586.0,0.0
anon_S2949E,1,578.0,723.0,145.0
anon_S1150E,0,-1,-1,na
anon_S797E,0,-1,-1,na
anon_S2725E,2,692.0,987.34,295.34
anon_S308E,1,591.0,649.0,58.0
anon_S5141E,2,499.0,581.0,82.0
anon_S2322E,2,-1,843.58,na
anon_S2359E,3,532.0,1021.67,489.67
anon_S3147E,1,533.0,632.0,99.0
anon_S2075E,2,533.0,987.34,454.34
anon_S2407E,1,528.0,525.0,-3.0
anon_S2002E,3,600.0,1021.67,421.67
anon_S405E,4,648.0,749.0,101.0
anon_S102E,6,571.0,1157.71,586.71
anon_S5839E,1,649.0,770.0,121.0
anon_S997E,0,631.0,631.0,0.0
anon_S1176E,0,604.0,604.0,0.0
anon_S5016E,2,664.0,581.0,-83.0
anon_S4878E,0,470.0,470.0,0.0
anon_S590E,3,440.0,440.0,0.0
anon_S5911E,2,540.0,609.0,69.0
anon_S2703E,1,512.0,651.0,139.0
anon_S5686E,2,519.0,609.0,90.0
anon_S2934E,2,627.0,915.61,288.61
anon_S2969E,1,-1,647.0,na
anon_S3612E,1,626.0,860.96,234.96
anon_S4330E,1,504.0,711.0,207.0
anon_S4365E,1,568.0,681.0,113.0
anon_S735E,0,604.0,604.0,0.0
anon_S5536E,2,602.0,943.47,341.47
anon_S5691E,2,482.0,609.0,127.0
anon_S5221E,0,541.0,541.0,0.0
anon_S5937E,0,501.0,501.0,0.0
anon_S1830E,1,544.0,696.0,152.0
anon_S2860E,1,662.0,695.0,33.0
anon_S4106E,1,575.0,664.0,89.0
anon_S4187E,0,595.0,595.0,0.0
anon_S3629E,1,682.0,783.81,101.81
anon_S2304E,3,553.0,1021.67,468.67
anon_S889E,0,526.0,526.0,0.0
anon_S4305E,1,-1,601.0,na
anon_S3297E,2,604.0,667.28,63.28
anon_S5639E,0,592.0,592.0,0.0
anon_S4168E,0,524.0,524.0,0.0
anon_S1916E,2,641.0,843.58,202.58
anon_S4702E,4,609.0,1248.4,639.4
anon_S2196E,3,537.0,786.55,249.55
anon_S1550E,1,531.0,792.0,261.0
anon_S1930E,1,513.0,602.0,89.0
anon_S4989E,2,585.0,1032.49,447.49
anon_S3351E,1,554.0,705.0,151.0
anon_S1071E,0,-1,-1,na
anon_S4907E,0,591.0,591.0,0.0
anon_S2661E,2,519.0,598.0,79.0
anon_S2952E,3,569.0,677.0,108.0
anon_S2634E,2,486.0,987.34,501.34
anon_S2231E,2,535.0,649.0,114.0
anon_S5458E,1,-1,710.0,na
anon_S1463E,1,612.0,708.0,96.0
anon_S1636E,0,527.0,527.0,0.0
anon_S4979E,2,516.0,581.0,65.0
anon_S5039E,2,513.0,332.0,-181.0
anon_S1407E,0,-1,-1,na
anon_S3846E,2,-1,808.34,na
anon_S4677E,0,589.0,589.0,0.0
anon_S3260E,1,447.0,530.0,83.0
anon_S1321E,0,534.0,534.0,0.0
anon_S675E,0,668.0,668.0,0.0
anon_S350E,0,693.0,693.0,0.0
anon_S3456E,1,646.0,565.0,-81.0
anon_S2134E,1,-1,650.0,na
anon_S2812E,1,766.0,708.0,-58.0
anon_S5613E,2,665.0,946.13,281.13
anon_S4226E,1,657.0,601.0,-56.0
anon_S6052E,0,483.0,483.0,0.0
anon_S5042E,9,540.0,734.0,194.0
anon_S3860E,2,485.0,915.61,430.61
anon_S504E,0,704.0,704.0,0.0
anon_S5293E,0,517.0,517.0,0.0
anon_S3180E,1,614.0,650.0,36.0
anon_S3538E,0,629.0,629.0,0.0
anon_S4924E,0,531.0,531.0,0.0
anon_S1701E,2,653.0,915.61,262.61
anon_S690E,0,595.0,595.0,0.0
anon_S3060E,2,-1,808.34,na
anon_S3973E,2,-1,663.0,na
anon_S3947E,1,703.0,632.0,-71.0
anon_S841E,0,324.0,324.0,0.0
anon_S3646E,1,587.0,783.81,196.81
anon_S814E,0,-1,-1,na
anon_S4521E,0,508.0,508.0,0.0
anon_S522E,0,642.0,642.0,0.0
anon_S976E,0,-1,-1,na
anon_S559E,0,501.0,501.0,0.0
anon_S3790E,3,722.0,566.0,-156.0
anon_S26E,1,640.0,613.0,-27.0
anon_S3516E,2,525.0,487.0,-38.0
anon_S6117E,0,477.0,477.0,0.0
anon_S5751E,2,-1,609.0,na
anon_S2444E,1,400.0,812.0,412.0
anon_S606E,0,-1,-1,na
